lon,lat,id,eu_dem_v11_E40N10,eu_dem_v11_E50N20,eu_dem_v11_E20N20,eu_dem_v11_E30N10,eu_dem_v11_E40N20,eu_dem_v11_E20N10,eu_dem_v11_E50N30,eu_dem_v11_E30N20,eu_dem_v11_E50N10,eu_dem_v11_E40N30,eu_dem_v11_E30N40,eu_dem_v11_E30N30
23.242,52.163,588621,,,,,,,161.39714,,,,,
-5.459,38.871,424795,,,,,,412.72693,,,,,,
15.027,37.072,555855,518.82733,,,,,,,,,,,
23.541,53.132,588610,,,,,,,142.32021,,,,,
-5.522,39.137,424792,,,,,,292.46405,,,,,,
15.046,37.344,555852,-1.74000,,,,,,,,,,,
23.513,53.044,588611,,,,,,,165.82521,,,,,
-5.501,39.049,424793,,,,,,706.69922,,,,,,
15.040,37.253,555853,281.54916,,,,,,,,,,,
23.598,53.308,588608,,,,,,,179.54524,,,,,
-5.396,38.606,424798,,,,,,478.53561,,,,,,
23.570,53.220,588609,,,,,,,160.90605,,,,,
-4.218,55.613,457554,,,,,,,,,,,,189.94456
-5.376,38.517,424799,,,,,,487.18970,,,,,,
15.106,38.159,555843,,,,,,,,,,,,
23.430,52.780,588614,,,,,,,155.35913,,,,,
-4.186,55.525,457555,,,,,,,,,,,,214.00000
-5.438,38.783,424796,,,,,,448.98346,,,,,,
23.403,52.692,588615,,,,,,,162.32840,,,,,
-4.282,55.789,457552,,,,,,,,,,,,81.97504
-5.417,38.694,424797,,,,,,555.15369,,,,,,
23.486,52.956,588612,,,,,,,145.54233,,,,,
-4.250,55.701,457553,,,,,,,,,,,,309.10626
-5.651,39.668,424786,,,,,,679.54401,,,,,,
15.086,37.887,555846,497.96762,,,,,,,,,,,
23.458,52.868,588613,,,,,,,138.89537,,,,,
-4.091,55.262,457558,,,,,,,,,,,,419.56317
-5.629,39.579,424787,,,,,,475.78452,,,,,,
15.079,37.797,555847,1385.81836,,,,,,,,,,,
22.907,51.016,588634,,,,,,,250.28180,,,,,
-4.060,55.174,457559,,,,,,,,,,,,260.46524
-5.694,39.845,424784,,,257.49368,,,,,,,,,
15.100,38.068,555844,332.69589,,,,,,,,,,,
22.882,50.928,588635,,,,,,,235.17853,,,,,
-4.154,55.437,457556,,,,,,,,,,,,285.14621
-5.672,39.756,424785,,,,,,416.48813,,,,,,
15.093,37.978,555845,1096.02539,,,,,,,,,,,
22.957,51.193,588632,,,,,,,167.05844,,,,,
-4.123,55.349,457557,,,,,,,,,,,,518.43274
-5.565,39.314,424790,,,,,,441.77194,,,,,,
22.932,51.105,588633,,,,,,,217.99405,,,,,
-5.543,39.226,424791,,,,,,338.02597,,,,,,
22.808,50.663,588638,,,,,,,222.14264,,,,,
-5.607,39.491,424788,,,,,,584.56317,,,,,,
22.784,50.575,588639,,,,,,,234.96037,,,,,
-5.586,39.402,424789,,,,,,899.34930,,,,,,
22.858,50.840,588636,,,,,,,216.42065,,,,,
-6.588,43.191,424746,,,657.86761,,,,,,,,,
22.833,50.752,588637,,,,,,,206.36043,,,,,
-6.562,43.103,424747,,,1186.32544,,,,,,,,,
23.110,51.722,588626,,,,,,,151.10100,,,,,
-6.639,43.367,424744,,,795.50189,,,,,,,,,
