"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Resource.and.Industrial_100m","Waterbody_100m","Parks.and.Recreational_100m","Government.and.Institutional_100m","Commercial_100m","Pop_100m","Roads_100m","Tot_NOx_100m","Tot_traffic_100m"
600330,5040171,209,13.41366758,127.6876724,1363.394093,0,31374.93713,0,0,0,0,0,79.59486385,589.8740479,321.9280271,3064.504155
592939,5039818,210,0.561287176,7.112966051,0,0,31374.93713,0,0,0,0,0,75.40373486,388.5994467,13.47089148,170.7111852
589339,5036245,211,33.41418059,591.1953918,0,0,27157.75502,0,0,4217.182109,0,0,103.3076835,530.9431532,801.9403447,14188.68943
586629,5033663,212,0.908939483,7.115218476,0,1276.821905,30098.11523,0,0,0,0,0,108.9169054,352.4018568,21.81454782,170.7652426
585754,5030021,213,3.586673766,65.40667235,0,0,31374.93713,0,0,0,0,0,39.4024664,433.5280574,86.0801721,1569.760115
588316,5032019,214,7.624473503,109.5339653,0,0,30366.88377,0,0,1006.678362,1.374995264,0,84.06512097,536.8261564,182.9873607,2628.81513
591097,5033305,215,1.490874854,31.0023457,1270.624665,0,30388.27262,0,0,986.6645083,0,0,108.6155435,493.7173285,35.78099699,744.0562987
592800,5034005,216,0.500669691,1.444692546,0,0,31374.93713,0,0,0,0,0,72.58743165,199.588042,12.0160734,34.672622
605702,5040493,217,4.718094378,72.04409509,0,0,31374.93713,0,0,0,0,0,95.90582714,622.9617495,113.2342656,1729.058278
608476,5041709,218,5.907631909,105.5621438,10020.60911,0,23501.41061,0,0,0,7873.526523,0,488.6696099,562.0649445,141.7831581,2533.491466
605709,5037760,219,29.08463381,298.8633056,0,831.9565818,30542.98055,0,0,0,0,0,102.4592368,557.6542559,698.031168,7172.719328
606204,5037456,220,19.99472032,576.2170204,0,224.050995,30595.9577,0,0,554.928442,0,0,86.47253104,588.3073057,479.8732697,13829.20848
609126,5036950,221,10.62781991,173.6727872,4592.994805,0,31374.93713,0,0,0,0,0,301.4834433,654.1992545,255.0676834,4168.146876
605248,5036014,222,8.376887176,178.7204819,0,0,31374.93713,0,0,0,0,0,126.9287863,673.7013255,201.0452856,4289.291521
